Date : 2024-11-14 19:40:43
Directory : /home/patate/Prog/CPP/KDevelopProjects/Snake/common/
Total : 161 files,  -137606 codes, -30198 comments, -25030 blanks, all -192834 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| /home/patate/Prog/CPP/KDevelopProjects/Snake/libs/raylib/src/models.c                                                   | C            |     -2,575 |       -472 |       -669 |     -3,716 |
| /home/patate/Prog/CPP/KDevelopProjects/Snake/libs/raylib/src/physac.h                                                   | C++          |     -1,430 |       -292 |       -342 |     -2,064 |
| /home/patate/Prog/CPP/KDevelopProjects/Snake/libs/raylib/src/raudio.c                                                   | C            |     -1,453 |       -333 |       -353 |     -2,139 |
| /home/patate/Prog/CPP/KDevelopProjects/Snake/libs/raylib/src/raudio.h                                                   | C++          |       -100 |        -77 |        -22 |       -199 |
| /home/patate/Prog/CPP/KDevelopProjects/Snake/libs/raylib/src/raylib.h                                                   | C++          |     -1,037 |       -270 |       -162 |     -1,469 |
| /home/patate/Prog/CPP/KDevelopProjects/Snake/libs/raylib/src/raymath.h                                                  | C++          |       -980 |       -172 |       -251 |     -1,403 |
| /home/patate/Prog/CPP/KDevelopProjects/Snake/libs/raylib/src/rglfw.c                                                    | C            |        -80 |        -31 |        -10 |       -121 |
| /home/patate/Prog/CPP/KDevelopProjects/Snake/libs/raylib/src/rlgl.h                                                     | C++          |     -3,164 |       -768 |       -765 |     -4,697 |
| /home/patate/Prog/CPP/KDevelopProjects/Snake/libs/raylib/src/rmem.h                                                     | C++          |       -532 |       -137 |       -107 |       -776 |
| /home/patate/Prog/CPP/KDevelopProjects/Snake/libs/raylib/src/rnet.h                                                     | C++          |     -1,618 |       -340 |       -294 |     -2,252 |
| /home/patate/Prog/CPP/KDevelopProjects/Snake/libs/raylib/src/shapes.c                                                   | C            |     -1,093 |       -205 |       -271 |     -1,569 |
| /home/patate/Prog/CPP/KDevelopProjects/Snake/libs/raylib/src/shell.html                                                 | HTML         |       -281 |         -4 |        -43 |       -328 |
| /home/patate/Prog/CPP/KDevelopProjects/Snake/libs/raylib/src/text.c                                                     | C            |     -1,107 |       -311 |       -351 |     -1,769 |
| /home/patate/Prog/CPP/KDevelopProjects/Snake/libs/raylib/src/textures.c                                                 | C            |     -2,682 |       -450 |       -651 |     -3,783 |
| /home/patate/Prog/CPP/KDevelopProjects/Snake/libs/raylib/src/utils.c                                                    | C            |       -278 |        -72 |        -70 |       -420 |
| /home/patate/Prog/CPP/KDevelopProjects/Snake/libs/raylib/src/utils.h                                                    | C++          |        -71 |        -46 |        -22 |       -139 |
| Total                                                                                                                   |              |   -137,606 |    -30,198 |    -25,030 |   -192,834 |
+-------------------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
